,cursor,nameWithOwner,url,stargazerCount,age,releases,cbo,dit,wmc,loc
0,Y3Vyc29yOjMyNQ==,flyway/flyway,https://github.com/flyway/flyway,5747,3019,88,5,1,5,19620
0,Y3Vyc29yOjMyNg==,spring-projects/spring-security,https://github.com/spring-projects/spring-security,5733,3358,58,5.0,1.0,3.0,161262
0,Y3Vyc29yOjMyNw==,JakeWharton/u2020,https://github.com/JakeWharton/u2020,5730,2684,0,4,1,3,4813
0,Y3Vyc29yOjMyOA==,json-path/JsonPath,https://github.com/json-path/JsonPath,5717,3709,6,3.0,1.0,4.0,13571
0,Y3Vyc29yOjMyOQ==,zouzg/mybatis-generator-gui,https://github.com/zouzg/mybatis-generator-gui,5712,1778,16,5,1,7,2923
0,Y3Vyc29yOjMzMA==,k9mail/k-9,https://github.com/k9mail/k-9,5706,3699,95,3.0,1.0,4.0,64805
0,Y3Vyc29yOjMzMQ==,TechEmpower/FrameworkBenchmarks,https://github.com/TechEmpower/FrameworkBenchmarks,5699,2921,15,4.0,1.0,2.0,15553
0,Y3Vyc29yOjMzMg==,AsyncHttpClient/async-http-client,https://github.com/AsyncHttpClient/async-http-client,5691,3667,0,4.0,1.0,4.0,32642
0,Y3Vyc29yOjMzMw==,Nightonke/BoomMenu,https://github.com/Nightonke/BoomMenu,5691,1828,0,4,1,4,7710
0,Y3Vyc29yOjMzNA==,ArthurHub/Android-Image-Cropper,https://github.com/ArthurHub/Android-Image-Cropper,5680,2257,32,4.0,1.0,4.5,4655
0,Y3Vyc29yOjMzNQ==,Graylog2/graylog2-server,https://github.com/Graylog2/graylog2-server,5657,3961,28,6,1,4,148484
0,Y3Vyc29yOjMzNg==,Devlight/InfiniteCycleViewPager,https://github.com/Devlight/InfiniteCycleViewPager,5651,1672,2,3,2,2,3564
0,Y3Vyc29yOjMzNw==,weibocom/motan,https://github.com/weibocom/motan,5650,1796,16,4,1,4,37604
0,Y3Vyc29yOjMzOA==,nhaarman/ListViewAnimations,https://github.com/nhaarman/ListViewAnimations,5647,2924,14,5,2,3,5697
0,Y3Vyc29yOjMzOQ==,prolificinteractive/material-calendarview,https://github.com/prolificinteractive/material-calendarview,5642,2232,22,4.0,1.0,3.0,3658
0,Y3Vyc29yOjM0MA==,daimajia/AndroidImageSlider,https://github.com/daimajia/AndroidImageSlider,5637,2484,5,2,1,3,3813
0,Y3Vyc29yOjM0MQ==,SonarSource/sonarqube,https://github.com/SonarSource/sonarqube,5617,3728,7,5.0,1.0,4.0,373420
0,Y3Vyc29yOjM0Mg==,zo0r/react-native-push-notification,https://github.com/zo0r/react-native-push-notification,5601,1924,26,4.0,1.0,3.0,2026
0,Y3Vyc29yOjM0Mw==,ityouknow/spring-cloud-examples,https://github.com/ityouknow/spring-cloud-examples,5577,1423,0,4,1,1,762
0,Y3Vyc29yOjM0NA==,react-native-video/react-native-video,https://github.com/react-native-video/react-native-video,5559,2183,5,3.0,1.0,3.0,3280
0,Y3Vyc29yOjM0NQ==,amlcurran/ShowcaseView,https://github.com/amlcurran/ShowcaseView,5555,3141,13,5,1,3,2086
0,Y3Vyc29yOjM0Ng==,JakeWharton/DiskLruCache,https://github.com/JakeWharton/DiskLruCache,5550,3364,0,2.5,1.0,11.0,1937
0,Y3Vyc29yOjM0Nw==,emilsjolander/StickyListHeaders,https://github.com/emilsjolander/StickyListHeaders,5513,3297,16,3,1,3,2112
0,Y3Vyc29yOjM0OA==,google/error-prone,https://github.com/google/error-prone,5511,2404,9,4.0,1.0,2.0,103921
0,Y3Vyc29yOjM0OQ==,dmytrodanylyk/circular-progress-button,https://github.com/dmytrodanylyk/circular-progress-button,5494,2479,0,2.0,1.0,3.0,1416
0,Y3Vyc29yOjM1MA==,hongyangAndroid/FlowLayout,https://github.com/hongyangAndroid/FlowLayout,5488,2032,0,3.0,1.0,1.0,810
0,Y3Vyc29yOjM1MQ==,lets-blade/blade,https://github.com/lets-blade/blade,5481,2112,9,3.0,1.0,4.0,14775
0,Y3Vyc29yOjM1Mg==,facebookarchive/rebound,https://github.com/facebookarchive/rebound,5465,2719,10,2,1,3,4095
0,Y3Vyc29yOjM1Mw==,sockeqwe/mosby,https://github.com/sockeqwe/mosby,5461,2189,15,3,1,3,17193
0,Y3Vyc29yOjM1NA==,sohutv/cachecloud,https://github.com/sohutv/cachecloud,5435,1882,4,2,1,3,79578
0,Y3Vyc29yOjM1NQ==,alibaba/freeline,https://github.com/alibaba/freeline,5433,1691,22,3,1,3,5357
0,Y3Vyc29yOjM1Ng==,real-logic/aeron,https://github.com/real-logic/aeron,5419,2599,72,4,1,6,76153
0,Y3Vyc29yOjM1Nw==,wasabeef/richeditor-android,https://github.com/wasabeef/richeditor-android,5413,2183,0,2,1,1,804
0,Y3Vyc29yOjM1OA==,knightliao/disconf,https://github.com/knightliao/disconf,5409,2487,12,3,1,4,14009
0,Y3Vyc29yOjM1OQ==,joelittlejohn/jsonschema2pojo,https://github.com/joelittlejohn/jsonschema2pojo,5407,2829,57,5.0,1.0,5.0,13697
0,Y3Vyc29yOjM2MA==,jgilfelt/SystemBarTint,https://github.com/jgilfelt/SystemBarTint,5399,2681,3,7,2,4,807
0,Y3Vyc29yOjM2MQ==,li-xiaojun/XPopup,https://github.com/li-xiaojun/XPopup,5396,835,118,3.0,1.0,2.0,9897
0,Y3Vyc29yOjM2Mg==,yarolegovich/DiscreteScrollView,https://github.com/yarolegovich/DiscreteScrollView,5384,1479,2,2,1,2,3698
0,Y3Vyc29yOjM2Mw==,jpush/aurora-imui,https://github.com/jpush/aurora-imui,5384,1560,42,2.5,1.0,3.0,17789
0,Y3Vyc29yOjM2NA==,evant/gradle-retrolambda,https://github.com/evant/gradle-retrolambda,5384,2786,37,3,1,2,623
0,Y3Vyc29yOjM2NQ==,sshahine/JFoenix,https://github.com/sshahine/JFoenix,5382,2021,0,4,1,3,24546
0,Y3Vyc29yOjM2Ng==,evernote/android-job,https://github.com/evernote/android-job,5377,2040,31,4.0,1.0,4.0,10679
0,Y3Vyc29yOjM2Nw==,yuanguangxin/LeetCode,https://github.com/yuanguangxin/LeetCode,5366,436,0,1.0,1.0,5.0,3181
0,Y3Vyc29yOjM2OA==,dm77/barcodescanner,https://github.com/dm77/barcodescanner,5362,2582,6,2,1,2,2796
0,Y3Vyc29yOjM2OQ==,k0shk0sh/FastHub,https://github.com/k0shk0sh/FastHub,5343,1492,63,6.0,1.0,4.0,40321
0,Y3Vyc29yOjM3MA==,febsteam/FEBS-Shiro,https://github.com/febsteam/FEBS-Shiro,5342,1098,0,4.5,1.0,3.0,4560
0,Y3Vyc29yOjM3MQ==,liyifeng1994/ssm,https://github.com/liyifeng1994/ssm,5330,1737,0,2,1,3,369
0,Y3Vyc29yOjM3Mg==,ionic-team/capacitor,https://github.com/ionic-team/capacitor,5324,1219,49,3.0,1.0,7.5,5165
0,Y3Vyc29yOjM3Mw==,facebook/facebook-android-sdk,https://github.com/facebook/facebook-android-sdk,5322,3968,36,3,1,3,50433
0,Y3Vyc29yOjM3NA==,lucasr/twoway-view,https://github.com/lucasr/twoway-view,5279,2984,0,4,1,6,3688
0,Y3Vyc29yOjM3NQ==,apache/tomcat,https://github.com/apache/tomcat,5246,3459,0,3.0,1.0,5.0,332367
0,Y3Vyc29yOjM3Ng==,XRecyclerView/XRecyclerView,https://github.com/XRecyclerView/XRecyclerView,5240,1950,0,2.0,1.0,2.0,5151
0,Y3Vyc29yOjM3Nw==,rest-assured/rest-assured,https://github.com/rest-assured/rest-assured,5239,3804,0,5.0,1.0,3.0,25790
